gm_code,gm_naam,sted,aant_inw,opp_land,g_gas_tot_2010,g_gas_tot_2011,g_gas_tot_2012,g_gas_tot_2013,g_gas_tot_2014,p_stad_ver_2010,p_stad_ver_2011,p_stad_ver_2012,p_stad_ver_2013,p_stad_ver_2014
GM0479,Zaanstad,2,152466,7387,1750,1350,1450,1550,1150, , ,0,0,0
GM0484,Alphen aan den Rijn,2,107960,12647,1650,1300,1350,1450,1150, , ,0,0,0
GM0498,Drechterland,5,19400,5895,2200,1700,1800,1900,1450, , , , ,
GM0513,Gouda,2,71189,1682,1650,1250,1350,1400,1050, , , , ,
GM0532,Stede Broec,3,21493,1455,2000,1600,1650,1750,1300, , , , ,
GM0542,Krimpen aan den IJssel,2,29054,768,2000,1500,1600,1700,1250, , , , ,
GM0545,Leerdam,3,20711,3378,1950,1500,1600,1650,1150, , , , ,
GM0569,Nieuwkoop,5,27433,7827,2100,1650,1700,1850,1400, , , , ,
GM0589,Oudewater,4,10049,3907,2150,1700,1700,1800,1300, , , , ,
GM0597,Ridderkerk,2,45097,2372,1650,1300,1350,1450,1150, , , , ,
GM0620,Vianen,4,19513,3917,2000,1550,1650,1700,1300, , , , ,
GM0627,Waddinxveen,2,26072,2796,1800,1400,1450,1550,1150, , , , ,
GM0632,Woerden,3,51161,8924,1950,1450,1550,1600,1200, , ,0,0,0
GM0689,Giessenlanden,5,14544,6351,2300,1800,1900,2000,1450, , , , ,
GM0707,Zederik,5,13718,7346,2200,1750,1750,1900,1450, , , , ,
GM0736,De Ronde Venen,4,42576,9997,2000,1650,1700,1850,1400, , , , ,
GM0737,Tytsjerksteradiel,5,32077,14928,2300,1800,1850,2000,1450, , , , ,
GM0765,Pekela,4,12641,4907,2500,1950,2050,2200,1650, , , , ,
GM0502,Capelle aan den IJssel,2,66486,1422,1150,900,950,900,750,29,29,29.2,29.1,29
GM0534,Hillegom,2,21089,1287,1800,1450,1500,1600,1250, , , , ,
GM0852,Waterland,4,17304,5211,2200,1750,1800,1950,1450, , , , ,
GM0880,Wormerland,3,15664,3859,1950,1500,1600,1700,1250, , , , ,
GM0995,Lelystad,3,76792,23056,1200,1150,1200,1300,950,12,15,15.7,15.4,15.5
GM0482,Alblasserdam,3,19955,879,1750,1350,1350,1400,1100, , ,0,0,0
GM1509,Oude IJsselstreek,4,39657,13632,2250,1750,1800,1900,1400, , , , ,
GM1581,Utrechtse Heuvelrug,4,48506,13201,2550,1950,2050,2150,1600, , ,0,0,0
GM1586,Oost Gelre,4,29537,10964,2150,1700,1800,1900,1400, , , , ,
GM1598,Koggenland,5,22471,8032,2100,1650,1700,1850,1350, , , , ,
GM1651,Eemsmond,5,15815,18931,2500,2000,2150,2200,1650, , , , ,
GM1663,De Marne,5,10101,17040,2500,1950,2100,2200,1650, , , , ,
GM1680,Aa en Hunze,5,25243,27625,2700,2100,2300,2400,1800, , , , ,
GM1681,Borger-Odoorn,5,25371,27451,2650,2050,2250,2350,1750, , , , ,
GM1690,De Wolden,5,23722,22468,2650,2100,2250,2400,1750, , , , ,
GM1696,Wijdemeren,4,23275,4761,2400,1850,2000,2050,1600, , , , ,
GM1699,Noordenveld,4,31039,20016,2550,2000,2050,2150,1600, , , , ,
GM1700,Twenterand,4,33846,10628,2500,1900,2050,2150,1350, , , , ,
GM1701,Westerveld,5,18940,27850,2650,2100,2150,2300,1700, , , , ,
GM1705,Lingewaard,4,45950,6221,2050,1650,1700,1850,1350, , , , ,
GM1708,Steenwijkerland,4,43333,28951,2200,1750,1900,1950,1450, , , , ,
GM1722,Ferwerderadiel,5,8701,9784,2250,1750,1800,1950,1400, , , , ,
GM1730,Tynaarlo,5,32804,14332,2600,2050,2200,2300,1700, , , , ,
GM1731,Midden-Drenthe,5,33450,34075,2450,1900,2050,2150,1600, , , , ,
GM1734,Overbetuwe,4,47002,10919,2100,1650,1750,1850,1350, , , , ,
GM1735,Hof van Twente,4,34881,21261,2400,2100,2200,2400,1600, , , , ,
GM1740,Neder-Betuwe,5,23049,5999,2300,1850,1950,2050,1500, , , , ,
GM1742,Rijssen-Holten,3,37875,9412,2350,1850,2000,2050,1500, , , , ,
GM1773,Olst-Wijhe,5,17886,11399,2300,1800,1950,2000,1450, , ,0,0,0
GM1774,Dinkelland,5,26120,17571,2750,2200,2450,2650,1700, , , , ,
GM1859,Berkelland,4,44437,25850,2300,1800,1850,2000,1450, , , , ,
GM1876,Bronckhorst,5,36510,28351,2450,1950,2000,2150,1600, , , , ,
GM1884,Kaag en Braassem,4,26108,6327,2050,1600,1650,1750,1300, , , , ,
GM1891,Dantumadiel,5,19015,8491,2400,1900,2000,2150,1550, , , , ,
GM1895,Oldambt,4,38228,22673,2400,1900,2050,2100,1550, , , , ,
GM1896,Zwartewaterland,4,22278,8267,2150,1700,1800,1900,1400, , , , ,
GM1900,Súdwest-Fryslân,4,84048,45536, ,1650,1750,1850,1350, , , , ,
